Player 1,Player 2,Result,Player 1 First,Timestamp
Negamax4 P10 T0.1,Negamax5 P10 T0.025,Player 1 Win,True,2025-03-08 18:22:35.090190
Negamax5 P10 T0.025,Negamax4 P10 T0.1,Player 1 Win,True,2025-03-08 18:23:10.470963
Negamax5 P8 T0.01,Negamax5 P12 T0.25,Player 2 Win,True,2025-03-08 18:23:56.419723
Negamax5 P12 T0.25,Negamax5 P8 T0.01,Player 2 Win,True,2025-03-08 18:24:14.712498
Negamax5B P10 T0.025,Negamax5 P10 T0.1,Player 1 Win,True,2025-03-08 18:24:19.636128
Negamax5 P10 T0.1,Negamax5B P10 T0.025,Player 2 Win,True,2025-03-08 18:24:24.231894
Negamax5B P4,Negamax5B P8 T0.25,Draw,True,2025-03-08 18:24:28.390713
Negamax5B P8 T0.25,Negamax5B P4,Player 1 Win,True,2025-03-08 18:24:32.931610
Negamax5 P10 T0.25,Negamax5B P10,Player 1 Win,True,2025-03-08 18:24:38.578870
Negamax5B P10,Negamax5 P10 T0.25,Player 1 Win,True,2025-03-08 18:24:44.564653
Negamax5B P6 T0.025,Negamax5 P4 T0.25,Player 2 Win,True,2025-03-08 18:24:49.302142
Negamax5 P4 T0.25,Negamax5B P6 T0.025,Player 2 Win,True,2025-03-08 18:24:54.442907
Negamax5 P12 T0.1,Negamax5B P12 T0.01,Player 1 Win,True,2025-03-08 18:25:12.328743
Negamax5B P12 T0.01,Negamax5 P12 T0.1,Player 1 Win,True,2025-03-08 18:25:39.809865
Neural Bot genomes/winner6_gen200.pkl,Negamax3 P8,Player 2 Win,True,2025-03-08 18:25:41.208962
Negamax3 P8,Neural Bot genomes/winner6_gen200.pkl,Player 1 Win,True,2025-03-08 18:25:41.939783
Negamax5 P8 T0.1,Negamax5B P8 T0.025,Player 2 Win,True,2025-03-08 18:25:44.450636
Negamax5B P8 T0.025,Negamax5 P8 T0.1,Player 1 Win,True,2025-03-08 18:25:46.913477
