Bot,ELO,Wins,Losses,Draws,Win %,W/L Ratio,First Player Wins,Second Player Wins,Bot Type,Avg Execution Time (s)
Neural Bot genomes/winner4_gen300.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,3.1858
Neural Bot genomes/winner5_gen300.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.1070
Neural Bot genomes/winner6_gen200.pkl,1172.2,1,3,0,25.00%,0.333,1,0,Neural,0.5343
Neural Bot genomes/winner7_gen900.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,1.4736
Neural Bot genomes/winner8.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,1.1990
Neural Bot genomes/winner8_gen300.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,1.1876
Neural Bot genomes/winner9_gen800.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.5381
Neural Bot genomes/winner_gen100.pkl,1198.5,1,1,0,50.00%,1.000,1,0,Neural,0.0037
Neural Bot winner.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.9116
Neural Bot winner_1gen1000.pkl,1173.5,1,3,0,25.00%,0.333,1,0,Neural,0.3131
Neural Bot winner_1gen1500.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,30.9124
Neural Bot winner_1gen400.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,2.6938
Neural Bot winner_1gen50.pkl,1198.5,1,1,0,50.00%,1.000,1,0,Neural,0.0195
Neural Bot winner_gen100.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.2642
Neural Bot winner_gen1000.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,0.0115
Neural Bot winner_gen200.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,1.9126
Neural Bot winner_gen700.pkl,1169.5,0,2,0,0.00%,0.000,0,0,Neural,1.0095
Random Bot,1169.5,0,2,0,0.00%,0.000,0,0,Random,2.2061
