Bot,wins,losses,draws,games_played,total_moves_in_games,total_time_in_games,type,depth,time_limit,neural_gen,mcts_iter,win_rate,loss_rate,draw_rate,avg_moves_per_game,avg_time_per_game
Negamax4 P6,58,20,32,110,3724,383.98426365852356,Negamax4,6.0,,,,0.5272727272727272,0.18181818181818182,0.2909090909090909,33.85454545454545,3.490766033259305
Negamax4 P8,60,21,29,110,3618,544.910165309906,Negamax4,8.0,,,,0.5454545454545454,0.19090909090909092,0.2636363636363636,32.89090909090909,4.9537287755446
Negamax5 P10,54,17,39,110,3719,897.3167278766632,Negamax5,10.0,,,,0.4909090909090909,0.15454545454545454,0.35454545454545455,33.80909090909091,8.157424798878756
Negamax5 P6,52,17,41,110,3750,377.35395193099976,Negamax5,6.0,,,,0.4727272727272727,0.15454545454545454,0.37272727272727274,34.09090909090909,3.4304904720999976
Negamax5 P8,51,24,35,110,3762,491.11478972435,Negamax5,8.0,,,,0.4636363636363636,0.21818181818181817,0.3181818181818182,34.2,4.464679906584999
Negamax5B P10,53,19,38,110,3743,888.8174073696136,Negamax5B,10.0,,,,0.4818181818181818,0.17272727272727273,0.34545454545454546,34.027272727272724,8.08015824881467
Negamax5B P6,53,19,38,110,3733,388.0618224143982,Negamax5B,6.0,,,,0.4818181818181818,0.17272727272727273,0.34545454545454546,33.93636363636364,3.527834749221802
Negamax5B P8,50,22,38,110,3787,489.23529601097107,Negamax5B,8.0,,,,0.45454545454545453,0.2,0.34545454545454546,34.42727272727273,4.447593600099737
QwQ P6,91,19,0,110,2986,1185.6886715888977,QwQ,6.0,,,,0.8272727272727273,0.17272727272727273,0.0,27.145454545454545,10.778987923535434
Qwen3 P6,32,76,2,110,2055,709.1402299404144,Qwen3,6.0,,,,0.2909090909090909,0.6909090909090909,0.01818181818181818,18.681818181818183,6.4467293630946765
Random Bot,1,109,0,110,1214,200.49538588523865,RandomBot,,,,,0.00909090909090909,0.990909090909091,0.0,11.036363636363637,1.8226853262294422
claude3.7-sonnet P10,61,43,6,110,2636,686.9770917892456,claude3.7-sonnet,10.0,,,,0.5545454545454546,0.39090909090909093,0.05454545454545454,23.963636363636365,6.245246288993142
claude3.7-sonnet P6,57,48,5,110,2652,703.8441424369812,claude3.7-sonnet,6.0,,,,0.5181818181818182,0.43636363636363634,0.045454545454545456,24.10909090909091,6.398583113063466
claude3.7-sonnet P8,56,49,5,110,2627,711.645584821701,claude3.7-sonnet,8.0,,,,0.509090909090909,0.44545454545454544,0.045454545454545456,23.881818181818183,6.469505316560919
claude3.7-sonnet-thinking P6,68,36,6,110,3309,725.8604423999786,claude3.7-sonnet-thinking,6.0,,,,0.6181818181818182,0.32727272727272727,0.05454545454545454,30.081818181818182,6.59873129454526
claude3.7-sonnet-thinking P8,79,7,24,110,3184,1034.2684659957886,claude3.7-sonnet-thinking,8.0,,,,0.7181818181818181,0.06363636363636363,0.21818181818181817,28.945454545454545,9.402440599961714
gemini-flash-2.0 P6,19,77,14,110,2447,405.6742718219757,gemini-flash-2.0,6.0,,,,0.17272727272727273,0.7,0.12727272727272726,22.245454545454546,3.6879479256543246
gemini-flash-2.0 P8,11,83,16,110,2159,569.4095041751862,gemini-flash-2.0,8.0,,,,0.1,0.7545454545454545,0.14545454545454545,19.62727272727273,5.176450037956238
gemini-flash-2.0-thinking P6,61,44,5,110,3022,603.7962083816528,gemini-flash-2.0-thinking,6.0,,,,0.5545454545454546,0.4,0.045454545454545456,27.472727272727273,5.489056439833208
gemini-flash-2.0-thinking P8,74,30,6,110,3051,1499.2900969982147,gemini-flash-2.0-thinking,8.0,,,,0.6727272727272727,0.2727272727272727,0.05454545454545454,27.736363636363638,13.629909972711044
gemini-pro-2.0 P6,59,31,20,110,3094,648.3265972137451,gemini-pro-2.0,6.0,,,,0.5363636363636364,0.2818181818181818,0.18181818181818182,28.12727272727273,5.893878156488592
gemini-pro-2.0 P8,78,24,8,110,3006,1239.0915219783783,gemini-pro-2.0,8.0,,,,0.7090909090909091,0.21818181818181817,0.07272727272727272,27.327272727272728,11.26446838162162
gpt4o P10,73,24,13,110,3406,1315.4751982688904,gpt4o,10.0,,,,0.6636363636363637,0.21818181818181817,0.11818181818181818,30.963636363636365,11.958865438808095
gpt4o P6,67,19,24,110,3557,1218.8068475723267,gpt4o,6.0,,,,0.6090909090909091,0.17272727272727273,0.21818181818181817,32.336363636363636,11.080062250657516
gpt4o P8,75,14,21,110,3554,1247.063984632492,gpt4o,8.0,,,,0.6818181818181818,0.12727272727272726,0.19090909090909092,32.30909090909091,11.336945314840836
o1 P6,46,58,6,110,3244,655.7919435501099,o1,6.0,,,,0.41818181818181815,0.5272727272727272,0.05454545454545454,29.490909090909092,5.9617449413646355
o1 P8,53,40,17,110,3187,1911.4691588878632,o1,8.0,,,,0.4818181818181818,0.36363636363636365,0.15454545454545454,28.972727272727273,17.376992353526028
o3 P10,33,75,2,110,2158,843.9867265224457,o3,10.0,,,,0.3,0.6818181818181818,0.01818181818181818,19.618181818181817,7.6726066047495065
o3 P6,27,80,3,110,2212,594.9829115867615,o3,6.0,,,,0.24545454545454545,0.7272727272727273,0.02727272727272727,20.10909090909091,5.40893555987965
o3 P8,26,82,2,110,2146,766.9837143421173,o3,8.0,,,,0.23636363636363636,0.7454545454545455,0.01818181818181818,19.509090909090908,6.9725792212919755
o3-mini-high P6,84,23,3,110,3032,679.4372892379761,o3-mini-high,6.0,,,,0.7636363636363637,0.20909090909090908,0.02727272727272727,27.563636363636363,6.1767026294361465
o4-mini-high P10,56,18,36,110,3531,525.5356991291046,o4-mini-high,10.0,,,,0.509090909090909,0.16363636363636364,0.32727272727272727,32.1,4.7775972648100415
o4-mini-high P12,61,15,34,110,3453,1039.8112070560455,o4-mini-high,12.0,,,,0.5545454545454546,0.13636363636363635,0.3090909090909091,31.39090909090909,9.452829155054959
o4-mini-high P6,49,22,39,110,3605,388.40658378601074,o4-mini-high,6.0,,,,0.44545454545454544,0.2,0.35454545454545455,32.77272727272727,3.5309689435091887
o4-mini-high P8,56,19,35,110,3563,404.54811835289,o4-mini-high,8.0,,,,0.509090909090909,0.17272727272727273,0.3181818181818182,32.39090909090909,3.6777101668444545
r1 T0.25,10,89,11,110,1956,736.4381346702576,r1,,0.25,,,0.09090909090909091,0.8090909090909091,0.1,17.78181818181818,6.694892133365978
r1 T0.5,10,89,11,110,1968,744.0766847133636,r1,,0.5,,,0.09090909090909091,0.8090909090909091,0.1,17.89090909090909,6.764333497394215
same.dev P6,41,57,12,110,2613,419.0558531284332,same.dev,6.0,,,,0.37272727272727274,0.5181818181818182,0.10909090909090909,23.754545454545454,3.8095986648039384
