match_participant_1,match_participant_2,game_in_match_id,player_O,player_X,winner,moves,time_seconds,game_global_id
Random Bot,o3-mini-high-search I6000,1,o3-mini-high-search I6000,Random Bot,o3-mini-high-search I6000,33,3.4739956855773926,89
Negamax3 P2,o4-mini-high P10,0,Negamax3 P2,o4-mini-high P10,o4-mini-high P10,26,0.6169991493225098,90
Negamax3 P2,o4-mini-high P10,1,o4-mini-high P10,Negamax3 P2,o4-mini-high P10,31,0.9999988079071045,91
gpt4o P6 T0.1,o3-mini-high-search I2000,0,gpt4o P6 T0.1,o3-mini-high-search I2000,gpt4o P6 T0.1,13,2.6049978733062744,92
gpt4o P6 T0.1,o3-mini-high-search I2000,1,o3-mini-high-search I2000,gpt4o P6 T0.1,gpt4o P6 T0.1,20,3.6939947605133057,93
Negamax4 P6 T0.01,o3 P4,0,Negamax4 P6 T0.01,o3 P4,o3 P4,20,1.2060256004333496,94
Negamax4 P6 T0.01,o3 P4,1,o3 P4,Negamax4 P6 T0.01,Negamax4 P6 T0.01,26,1.6919713020324707,95
LeChat P4,claude3.7-sonnet P4,0,claude3.7-sonnet P4,LeChat P4,claude3.7-sonnet P4,19,2.852996826171875,96
LeChat P4,claude3.7-sonnet P4,1,LeChat P4,claude3.7-sonnet P4,claude3.7-sonnet P4,28,4.386994361877441,97
claude3.7-sonnet P2,o1 P6,0,claude3.7-sonnet P2,o1 P6,claude3.7-sonnet P2,23,4.134995460510254,98
claude3.7-sonnet P2,o1 P6,1,o1 P6,claude3.7-sonnet P2,claude3.7-sonnet P2,18,3.3579959869384766,99
claude3.7-sonnet-thinking P6,gpt4o P10 T0.01,0,gpt4o P10 T0.01,claude3.7-sonnet-thinking P6,claude3.7-sonnet-thinking P6,36,3.4481146335601807,100
claude3.7-sonnet-thinking P6,gpt4o P10 T0.01,1,claude3.7-sonnet-thinking P6,gpt4o P10 T0.01,claude3.7-sonnet-thinking P6,39,5.9039928913116455,101
Negamax P1,o4-mini-high P8,0,Negamax P1,o4-mini-high P8,o4-mini-high P8,10,0.045999765396118164,102
Negamax P1,o4-mini-high P8,1,o4-mini-high P8,Negamax P1,o4-mini-high P8,7,0.03900027275085449,103
Negamax4 P2,o3-mini-high P2,0,Negamax4 P2,o3-mini-high P2,o3-mini-high P2,10,0.006999969482421875,104
Negamax4 P2,o3-mini-high P2,1,o3-mini-high P2,Negamax4 P2,o3-mini-high P2,33,0.029000043869018555,105
Negamax P4,r1 T0.01,0,Negamax P4,r1 T0.01,Negamax P4,17,4.061114311218262,106
Negamax P4,r1 T0.01,1,r1 T0.01,Negamax P4,Negamax P4,22,5.564992666244507,107
r1 T0.01,same.dev P1,0,same.dev P1,r1 T0.01,same.dev P1,15,3.504115104675293,108
r1 T0.01,same.dev P1,1,r1 T0.01,same.dev P1,same.dev P1,28,7.012991189956665,109
Negamax5B P8,o3-mini-high P1,0,Negamax5B P8,o3-mini-high P1,Negamax5B P8,21,0.4479994773864746,110
Negamax5B P8,o3-mini-high P1,1,o3-mini-high P1,Negamax5B P8,Negamax5B P8,24,0.4679992198944092,111
QwQ P6,same.dev P6,0,same.dev P6,QwQ P6,same.dev P6,37,7.70611047744751,112
QwQ P6,same.dev P6,1,QwQ P6,same.dev P6,QwQ P6,9,2.8409957885742188,113
Negamax P2,Negamax2 P4,0,Negamax P2,Negamax2 P4,Negamax2 P4,28,0.037999868392944336,114
Negamax P2,Negamax2 P4,1,Negamax2 P4,Negamax P2,Negamax2 P4,7,0.006999969482421875,115
Gemma2 P2,Negamax4 P6 T0.025,0,Negamax4 P6 T0.025,Gemma2 P2,Negamax4 P6 T0.025,9,0.04999995231628418,116
Gemma2 P2,Negamax4 P6 T0.025,1,Gemma2 P2,Negamax4 P6 T0.025,Gemma2 P2,29,0.24699997901916504,117
claude3.7-sonnet-thinking P6,o3-mini-high P2,0,o3-mini-high P2,claude3.7-sonnet-thinking P6,claude3.7-sonnet-thinking P6,20,2.0239975452423096,118
claude3.7-sonnet-thinking P6,o3-mini-high P2,1,claude3.7-sonnet-thinking P6,o3-mini-high P2,claude3.7-sonnet-thinking P6,37,2.6469967365264893,119
Negamax4 P4 T0.25,gpt4o P4 T0.1,0,Negamax4 P4 T0.25,gpt4o P4 T0.1,gpt4o P4 T0.1,20,1.3419983386993408,120
Negamax4 P4 T0.25,gpt4o P4 T0.1,1,gpt4o P4 T0.1,Negamax4 P4 T0.25,gpt4o P4 T0.1,19,1.1749987602233887,121
Gemini2.5 Flash Thinking P4,gpt4o P2,0,gpt4o P2,Gemini2.5 Flash Thinking P4,gpt4o P2,9,2.9811155796051025,122
Gemini2.5 Flash Thinking P4,gpt4o P2,1,Gemini2.5 Flash Thinking P4,gpt4o P2,gpt4o P2,38,8.938989162445068,123
Negamax4 P8 T0.1,gpt4o P4 T0.1,0,Negamax4 P8 T0.1,gpt4o P4 T0.1,gpt4o P4 T0.1,38,2.9480247497558594,124
