Bot,Elo,Bot_Type,Depth,Time_Limit,Neural_Gen,MCTS_Iter,Rank
claude3.7-sonnet P1,1174.5913627228238,claude3.7-sonnet,1.0,,,,64
gpt4o P10 T0.01,1169.4707648885333,gpt4o,10.0,0.01,,,65
same.dev P6,1169.365449096297,same.dev,6.0,,,,66
claude3.7-sonnet P2,1167.9329846076175,claude3.7-sonnet,2.0,,,,67
claude3.7-sonnet P4,1162.9792174256559,claude3.7-sonnet,4.0,,,,68
Negamax5 P10,1161.2247030386613,Negamax5,10.0,,,,69
gemini-flash-2.0-thinking P4,1154.1672712634675,gemini-flash-2.0-thinking,4.0,,,,70
Gemini2.5 Pro P4 T0.025,1136.0923317873207,Gemini2.5 Pro,4.0,0.025,,2.0,71
Negamax4 P10,1129.3089151136624,Negamax4,10.0,,,,72
gemini-pro-2.0 P4,1125.1957510049308,gemini-pro-2.0,4.0,,,,73
Negamax4 P10 T0.01,1111.9099307382492,Negamax4,10.0,0.01,,,74
Negamax4 P10 T0.025,1110.9795297843693,Negamax4,10.0,0.025,,,75
Gemini2.5 Pro P6 T0.025,1108.5793596475694,Gemini2.5 Pro,6.0,0.025,,2.0,76
gemini-pro-2.0 P2,1108.0853502927778,gemini-pro-2.0,2.0,,,,77
gemini-flash-2.0 P2,1104.4267182145943,gemini-flash-2.0,2.0,,,,78
Negamax4 P10 T0.1,1102.6783859958566,Negamax4,10.0,0.1,,,79
Negamax5 P10 T0.025,1082.2791767404408,Negamax5,10.0,0.025,,,80
Negamax5 P8 T0.01,1066.7180696086805,Negamax5,8.0,0.01,,,81
Negamax2 P8,1064.2909846815508,Negamax2,8.0,,,,82
same.dev P4,1061.5624842447814,same.dev,4.0,,,,83
claude3.7-sonnet-thinking P1,1060.7863738990304,claude3.7-sonnet-thinking,1.0,,,,84
o1 P4,1055.9729265273616,o1,4.0,,,,85
Negamax4 P8 T0.01,1050.8380662853176,Negamax4,8.0,0.01,,,86
Negamax5 P10 T0.01,1050.047278586987,Negamax5,10.0,0.01,,,87
Negamax3 P8,1045.0912316228093,Negamax3,8.0,,,,88
Negamax5B P2,1045.0053309378752,Negamax5B,2.0,,,,89
Negamax5 P8 T0.025,1043.488295628587,Negamax5,8.0,0.025,,,90
Negamax5 P8 T0.1,1042.3595592294782,Negamax5,8.0,0.1,,,91
o1 P6,1039.6100587821825,o1,6.0,,,,92
Negamax5 P6 T0.01,1034.8849800392668,Negamax5,6.0,0.01,,,93
Negamax5 P4 T0.01,1034.1013702662642,Negamax5,4.0,0.01,,,94
o4-mini-high P2,1033.8027803613734,o4-mini-high,2.0,,,,95
Negamax5 P6 T0.025,1031.759440021719,Negamax5,6.0,0.025,,,96
Negamax4 P8 T0.1,1028.360750327942,Negamax4,8.0,0.1,,,97
Negamax5 P10 T0.1,1023.6578410848324,Negamax5,10.0,0.1,,,98
Negamax4 P8 T0.025,1017.4438672223696,Negamax4,8.0,0.025,,,99
Negamax5 P8,1016.8982632880918,Negamax5,8.0,,,,100
LeChat P8,1006.8878276824396,LeChat,8.0,,,,101
Negamax4 P8,1005.0916349490675,Negamax4,8.0,,,,102
