Bot,Elo,Bot_Type,Depth,Time_Limit,Neural_Gen
Negamax4 P8 T0.25,985.613116034584,Negamax4,8.0,0.25,
Negamax4 P10 T0.01,1092.571494777355,Negamax4,10.0,0.01,
Negamax4 P10 T0.025,1162.073715259319,Negamax4,10.0,0.025,
Negamax4 P10 T0.1,1012.9154147451821,Negamax4,10.0,0.1,
Negamax4 P10 T0.25,1164.2237784900462,Negamax4,10.0,0.25,
Negamax5 P1,608.4654931722655,Negamax5,1.0,,
Negamax5 P2,904.8510970747254,Negamax5,2.0,,
Negamax5 P4,965.8609943295266,Negamax5,4.0,,
Negamax5 P6,1016.3981239191,Negamax5,6.0,,
Negamax5 P8,1096.4660174744552,Negamax5,8.0,,
Negamax5 P10,1082.2288107155905,Negamax5,10.0,,
Negamax5 P12,1234.6034670929366,Negamax5,12.0,,
Negamax5 P4 T0.01,991.4555010696304,Negamax5,4.0,0.01,
Negamax5 P4 T0.025,1066.7384105498995,Negamax5,4.0,0.025,
Negamax5 P4 T0.1,939.2167778350096,Negamax5,4.0,0.1,
Negamax5 P4 T0.25,1097.992956010678,Negamax5,4.0,0.25,
Negamax5 P6 T0.01,889.488966469147,Negamax5,6.0,0.01,
Negamax5 P6 T0.025,1137.1243543442592,Negamax5,6.0,0.025,
Negamax5 P6 T0.1,991.2761616244775,Negamax5,6.0,0.1,
Negamax5 P6 T0.25,1073.4889017196929,Negamax5,6.0,0.25,
Negamax5 P8 T0.01,1135.2392224953933,Negamax5,8.0,0.01,
Negamax5 P8 T0.025,984.4271167911222,Negamax5,8.0,0.025,
Negamax5 P8 T0.1,1136.4146469389827,Negamax5,8.0,0.1,
Negamax5 P8 T0.25,1157.2820057703648,Negamax5,8.0,0.25,
Negamax5 P10 T0.01,1142.7862949971247,Negamax5,10.0,0.01,
Negamax5 P10 T0.025,1122.7305570801477,Negamax5,10.0,0.025,
Negamax5 P10 T0.1,1112.362551508294,Negamax5,10.0,0.1,
Negamax5 P10 T0.25,1052.1846904375357,Negamax5,10.0,0.25,
Negamax5 P12 T0.01,1186.3163647066403,Negamax5,12.0,0.01,
Negamax5 P12 T0.025,1255.2828113803685,Negamax5,12.0,0.025,
Negamax5 P12 T0.1,1229.2585414163932,Negamax5,12.0,0.1,
Negamax5 P12 T0.25,1172.3430509413652,Negamax5,12.0,0.25,
Negamax5B P1,699.5494073042382,Negamax5B,1.0,,
Negamax5B P2,1061.122829959173,Negamax5B,2.0,,
Negamax5B P4,1345.5246192053419,Negamax5B,4.0,,
Negamax5B P6,1408.6777635320705,Negamax5B,6.0,,
Negamax5B P8,1347.5976389314392,Negamax5B,8.0,,
Negamax5B P10,1418.9159785162615,Negamax5B,10.0,,
Negamax5B P12,1275.720925158918,Negamax5B,12.0,,
Negamax5B P4 T0.01,1294.3832320518723,Negamax5B,4.0,0.01,
Negamax5B P4 T0.025,1346.5371326344248,Negamax5B,4.0,0.025,
Negamax5B P4 T0.1,1342.197131080634,Negamax5B,4.0,0.1,
Negamax5B P4 T0.25,1309.5915054015813,Negamax5B,4.0,0.25,
Negamax5B P6 T0.01,1298.477225422832,Negamax5B,6.0,0.01,
Negamax5B P6 T0.025,1417.629422223713,Negamax5B,6.0,0.025,
Negamax5B P6 T0.1,1451.8889032906861,Negamax5B,6.0,0.1,
Negamax5B P6 T0.25,1404.73689005463,Negamax5B,6.0,0.25,
Negamax5B P8 T0.01,1346.8754002467545,Negamax5B,8.0,0.01,
Negamax5B P8 T0.025,1312.2799541027516,Negamax5B,8.0,0.025,
Negamax5B P8 T0.1,1314.5035540767049,Negamax5B,8.0,0.1,
Negamax5B P8 T0.25,1423.4498879767198,Negamax5B,8.0,0.25,
Negamax5B P10 T0.01,1369.4752629781647,Negamax5B,10.0,0.01,
Negamax5B P10 T0.025,1397.577766230198,Negamax5B,10.0,0.025,
Negamax5B P10 T0.1,1371.735692621624,Negamax5B,10.0,0.1,
Negamax5B P10 T0.25,1362.5717223314878,Negamax5B,10.0,0.25,
Negamax5B P12 T0.01,1299.1310787956345,Negamax5B,12.0,0.01,
Negamax5B P12 T0.025,1401.7607849210083,Negamax5B,12.0,0.025,
Negamax5B P12 T0.1,1396.4023422982175,Negamax5B,12.0,0.1,
Negamax5B P12 T0.25,1447.7270214239002,Negamax5B,12.0,0.25,
Default Bot,519.7636101186822,DefaultBot,,,
Random Bot,242.1862355973301,RandomBot,,,
Neural Bot winner.pkl,497.01703105317347,NeuralBot,,,
Neural Bot winner_gen700.pkl,336.3061446057923,NeuralBot,,,700.0
Neural Bot winner_1gen1000.pkl,593.9205575032445,NeuralBot,,,1000.0
Neural Bot winner_gen200.pkl,330.2808979622331,NeuralBot,,,200.0
Neural Bot winner_gen1000.pkl,622.8250770277037,NeuralBot,,,1000.0
Neural Bot winner_1gen1500.pkl,744.5179162085713,NeuralBot,,,1500.0
Neural Bot winner_gen100.pkl,283.283412840381,NeuralBot,,,100.0
Neural Bot winner_1gen400.pkl,437.47588770128255,NeuralBot,,,400.0
Neural Bot winner_1gen50.pkl,390.3672467997742,NeuralBot,,,50.0
Neural Bot genomes/winner2_gen1200.pkl,669.900034527873,NeuralBot,,,2.0
Neural Bot genomes/winner3_gen1000.pkl,536.1854810656354,NeuralBot,,,3.0
Neural Bot genomes/winner4_gen300.pkl,485.9980235729622,NeuralBot,,,4.0
Neural Bot genomes/winner_gen100.pkl,293.2954934151595,NeuralBot,,,
Neural Bot genomes/winner5_gen300.pkl,444.3813190216338,NeuralBot,,,5.0
Neural Bot genomes/winner.pkl,497.2591745453012,NeuralBot,,,
Neural Bot genomes/winner6_gen200.pkl,482.43343872181674,NeuralBot,,,6.0
Neural Bot genomes/winner7_gen900.pkl,382.48302604262346,NeuralBot,,,7.0
Neural Bot genomes/winne7.pkl,391.1700561175444,NeuralBot,,,7.0
Neural Bot genomes/winner8_gen300.pkl,400.5487627569411,NeuralBot,,,8.0
Neural Bot genomes/winner8.pkl,443.4153549164747,NeuralBot,,,8.0
Neural Bot genomes/winner9_gen800.pkl,504.34209015207756,NeuralBot,,,9.0
Neural Bot genomes/winner3_gen800.pkl,562.8530229243934,NeuralBot,,,3.0
Neural Bot genomes/checkpoint_gen200.pkl,431.68054666422825,NeuralBot,,,
Neural Bot genomes/checkpoint_gen100.pkl,481.78705632867616,NeuralBot,,,
o3-mini-high-search I3000,542.3803183354165,o3-mini-high-search,,,
claude3.7-sonnet-thinking P6,1410.583942114445,claude3.7-sonnet-thinking,6.0,,
o1 P4,882.9612147612077,o1,4.0,,
claude3.7-sonnet P6,1226.601173617565,claude3.7-sonnet,6.0,,
gemini-flash-2.0-thinking P2,1026.130486110302,gemini-flash-2.0-thinking,2.0,,
gpt4o P12 T0.01,939.060880681282,gpt4o,12.0,0.01,
gpt4o P4 T0.25,1386.9758350695295,gpt4o,4.0,0.25,
o1 P2,1039.2607419835294,o1,2.0,,
QwQ P1,999.5515915714889,QwQ,1.0,,
gpt4o P10 T0.025,1287.3326400836859,gpt4o,10.0,0.025,
gemini-flash-2.0 P2,1148.2615233562055,gemini-flash-2.0,2.0,,
gpt4o P1,837.4846738058482,gpt4o,1.0,,
claude3.7-sonnet-thinking P2,1277.322966801959,claude3.7-sonnet-thinking,2.0,,
gemini-pro-2.0 P2,1180.7903156851794,gemini-pro-2.0,2.0,,
o3-mini-high-search I7000,595.1732954385446,o3-mini-high-search,,,
gemini-flash-2.0 P1,34.98831761121198,gemini-flash-2.0,1.0,,
