bot1,bot2,bot1_wins,bot2_wins,draws,total_moves,total_time,bot1_type,bot2_type
Negamax5B P10 T0.1,Neural Bot genomes/winner8_gen300.pkl,4,0,0,58,10.861749410629272,Negamax5B,NeuralBot
Negamax5 P10 T0.1,Neural Bot genomes/winner3_gen800.pkl,4,0,0,70,11.736262321472168,Negamax5,NeuralBot
Negamax4 P8 T0.1,Negamax5 P6 T0.025,3,1,0,125,11.752914905548096,Negamax4,Negamax5
Negamax4 P8 T0.01,Neural Bot winner_1gen1500.pkl,4,0,0,76,12.018660545349121,Negamax4,NeuralBot
Negamax2 P4,Negamax4 P4 T0.025,1,1,2,144,0.2292485237121582,Negamax2,Negamax4
Negamax5 P4,Negamax5B P10,0,3,1,135,12.954643726348877,Negamax5,Negamax5B
Negamax5B P8 T0.01,Neural Bot genomes/winner3_gen1000.pkl,4,0,0,90,2.4628634452819824,Negamax5B,NeuralBot
Negamax5B P6 T0.25,Negamax5B P10 T0.1,0,0,4,168,13.89646863937378,Negamax5B,Negamax5B
Negamax P1,Negamax5 P10,0,4,0,68,14.056757688522339,Negamax,Negamax5
Negamax5 P2,Negamax5B P10,0,4,0,130,14.327110528945923,Negamax5,Negamax5B
Negamax3 P2,Negamax4 P1,4,0,0,62,0.007973194122314453,Negamax3,Negamax4
Negamax4 P4 T0.01,Neural Bot genomes/winner8.pkl,4,0,0,94,0.07470941543579102,Negamax4,NeuralBot
Negamax5B P6 T0.1,Neural Bot genomes/winner.pkl,4,0,0,58,0.30684566497802734,Negamax5B,NeuralBot
Negamax4 P6 T0.25,Negamax5B P10 T0.025,0,4,0,128,15.45205283164978,Negamax4,Negamax5B
Negamax5 P8 T0.25,Neural Bot genomes/winner8.pkl,4,0,0,62,1.9457135200500488,Negamax5,NeuralBot
Negamax5B P8 T0.025,Negamax5B P10 T0.025,0,0,4,168,16.53247904777527,Negamax5B,Negamax5B
Negamax3 P2,Negamax4 P2,2,1,1,160,0.025915861129760742,Negamax3,Negamax4
Negamax4 P8 T0.25,Negamax5 P8,2,2,0,142,8.674015045166016,Negamax4,Negamax5
Negamax4 P4 T0.1,Negamax5B P10,0,3,1,136,14.408238410949707,Negamax4,Negamax5B
Negamax4 P6 T0.025,Negamax5B P10 T0.25,0,4,0,148,17.41400718688965,Negamax4,Negamax5B
Negamax5B P8,Neural Bot genomes/winner_gen100.pkl,4,0,0,54,1.7969014644622803,Negamax5B,NeuralBot
Negamax5 P6,Neural Bot genomes/winner3_gen1000.pkl,4,0,0,70,0.40966153144836426,Negamax5,NeuralBot
Negamax4 P4 T0.01,Neural Bot winner_gen100.pkl,4,0,0,68,0.07973575592041016,Negamax4,NeuralBot
Negamax P2,Negamax5 P10 T0.01,0,3,1,109,19.05223035812378,Negamax,Negamax5
Negamax4 P2,Neural Bot winner_1gen50.pkl,4,0,0,78,0.038870811462402344,Negamax4,NeuralBot
Negamax5 P8 T0.25,Neural Bot genomes/winner9_gen800.pkl,4,0,0,76,2.368513822555542,Negamax5,NeuralBot
Negamax P1,Negamax5 P8 T0.25,0,4,0,68,4.548656225204468,Negamax,Negamax5
Neural Bot genomes/winner5_gen300.pkl,Neural Bot genomes/winne7.pkl,4,0,0,54,0.013954877853393555,NeuralBot,NeuralBot
Negamax5B P2,Neural Bot genomes/checkpoint_gen100.pkl,4,0,0,34,0.010963678359985352,Negamax5B,NeuralBot
Negamax5 P6 T0.25,Negamax5B P6 T0.25,0,3,1,151,1.107886791229248,Negamax5,Negamax5B
Negamax5 P4 T0.01,Neural Bot genomes/winner8_gen300.pkl,4,0,0,70,0.058805227279663086,Negamax5,NeuralBot
Negamax5B P6 T0.01,Neural Bot genomes/winner8_gen300.pkl,4,0,0,58,0.3549036979675293,Negamax5B,NeuralBot
Negamax5 P8 T0.25,Neural Bot genomes/winner6_gen200.pkl,4,0,0,68,2.175959348678589,Negamax5,NeuralBot
Negamax5B P6,Neural Bot winner.pkl,4,0,0,34,0.24021220207214355,Negamax5B,NeuralBot
Negamax5 P6 T0.01,Neural Bot winner_1gen50.pkl,4,0,0,60,0.5527458190917969,Negamax5,NeuralBot
Negamax5 P8,Neural Bot genomes/winner5_gen300.pkl,4,0,0,50,1.6328794956207275,Negamax5,NeuralBot
Negamax2 P1,Negamax5B P8 T0.1,0,4,0,50,1.4580535888671875,Negamax2,Negamax5B
Negamax3 P8,Neural Bot genomes/winner9_gen800.pkl,4,0,0,72,12.820139646530151,Negamax3,NeuralBot
Negamax5 P6 T0.1,Negamax5 P10 T0.025,1,2,1,138,24.472434759140015,Negamax5,Negamax5
Negamax5 P8 T0.01,Negamax5 P10 T0.025,0,3,1,137,25.404667854309082,Negamax5,Negamax5
Negamax4 P6 T0.1,Negamax5 P10 T0.1,0,3,1,123,25.128926038742065,Negamax4,Negamax5
Negamax3 P4,Negamax4 P4 T0.25,2,2,0,140,0.25069642066955566,Negamax3,Negamax4
Negamax4 P4,Negamax5B P4 T0.01,0,4,0,122,0.15949440002441406,Negamax4,Negamax5B
Negamax4 P4 T0.1,Neural Bot winner_1gen400.pkl,4,0,0,54,0.07727432250976562,Negamax4,NeuralBot
Negamax5 P10 T0.25,Neural Bot genomes/winne7.pkl,4,0,0,58,12.276933908462524,Negamax5,NeuralBot
Neural Bot genomes/winner6_gen200.pkl,Neural Bot genomes/winne7.pkl,2,2,0,64,0.011962652206420898,NeuralBot,NeuralBot
Negamax5B P8 T0.025,Neural Bot genomes/winner2_gen1200.pkl,2,0,2,122,2.4967665672302246,Negamax5B,NeuralBot
Negamax2 P4,Negamax5 P6 T0.025,0,4,0,122,1.2851333618164062,Negamax2,Negamax5
Negamax5 P6 T0.025,Neural Bot genomes/winner3_gen1000.pkl,4,0,0,98,0.47652268409729004,Negamax5,NeuralBot
Negamax5 P1,Negamax5 P8 T0.1,0,4,0,66,3.4121854305267334,Negamax5,Negamax5
Negamax5 P6 T0.025,Neural Bot genomes/winner2_gen1200.pkl,4,0,0,100,0.6615395545959473,Negamax5,NeuralBot
Negamax3 P8,Neural Bot winner.pkl,4,0,0,74,12.445927619934082,Negamax3,NeuralBot
Negamax4 P4 T0.01,Negamax5 P8 T0.25,0,2,2,149,6.4089014530181885,Negamax4,Negamax5
Negamax5 P10 T0.1,Neural Bot genomes/checkpoint_gen200.pkl,4,0,0,60,13.653903722763062,Negamax5,NeuralBot
Negamax4 P6,Neural Bot genomes/winner9_gen800.pkl,4,0,0,92,0.6030464172363281,Negamax4,NeuralBot
Negamax2 P1,Negamax4 P8 T0.1,0,4,0,56,5.04219913482666,Negamax2,Negamax4
Negamax5B P4,Neural Bot genomes/winner3_gen800.pkl,4,0,0,58,0.16547226905822754,Negamax5B,NeuralBot
Negamax2 P6,Neural Bot genomes/checkpoint_gen200.pkl,4,0,0,64,0.8133862018585205,Negamax2,NeuralBot
Negamax3 P6,Negamax5B P10,0,4,0,112,22.45561146736145,Negamax3,Negamax5B
Negamax2 P8,Negamax4 P8 T0.25,2,1,1,152,30.75653839111328,Negamax2,Negamax4
Negamax4 P4,Negamax5B P6 T0.01,0,4,0,132,0.8887648582458496,Negamax4,Negamax5B
Negamax2 P6,Neural Bot winner_1gen50.pkl,4,0,0,46,0.7251694202423096,Negamax2,NeuralBot
Negamax5 P10 T0.025,Neural Bot genomes/winne7.pkl,4,0,0,50,12.578531742095947,Negamax5,NeuralBot
Negamax5 P6 T0.025,Negamax5 P8 T0.25,1,3,0,123,8.445236206054688,Negamax5,Negamax5
Negamax5 P10 T0.01,Negamax5B P6 T0.01,0,3,1,152,15.868891716003418,Negamax5,Negamax5B
Negamax4 P10 T0.025,Neural Bot winner_1gen50.pkl,4,0,0,74,71.4015703201294,Negamax4,NeuralBot
Negamax5 P10,Negamax5 P10 T0.25,1,2,1,152,52.39727258682251,Negamax5,Negamax5
Negamax5 P12 T0.1,Neural Bot winner_gen200.pkl,4,0,0,50,74.05440020561218,Negamax5,NeuralBot
Negamax5 P12,Negamax5B P4 T0.25,1,2,1,143,75.64414095878601,Negamax5,Negamax5B
Negamax5B P12 T0.025,Neural Bot genomes/winner.pkl,4,0,0,58,79.73864817619324,Negamax5B,NeuralBot
Negamax3 P6,Neural Bot genomes/winner5_gen300.pkl,4,0,0,60,0.770972728729248,Negamax3,NeuralBot
Negamax5 P12 T0.01,Negamax5B P6 T0.025,1,2,1,149,81.7890157699585,Negamax5,Negamax5B
Negamax3 P6,Negamax5 P2,4,0,0,100,1.4058253765106201,Negamax3,Negamax5
Negamax5B P2,Neural Bot genomes/winner8.pkl,4,0,0,58,0.0160067081451416,Negamax5B,NeuralBot
Negamax4 P6 T0.025,Negamax5B P12 T0.1,0,4,0,140,79.25592589378357,Negamax4,Negamax5B
Negamax4 P10,Negamax5B P1,4,0,0,74,33.61147212982178,Negamax4,Negamax5B
Negamax5 P8 T0.025,Neural Bot genomes/winner5_gen300.pkl,4,0,0,64,2.7559478282928467,Negamax5,NeuralBot
Negamax5 P4 T0.1,Negamax5B P12 T0.025,0,3,1,132,73.26131176948547,Negamax5,Negamax5B
Negamax5B P8 T0.01,Neural Bot genomes/winner9_gen800.pkl,4,0,0,66,6.433449745178223,Negamax5B,NeuralBot
Negamax4 P8 T0.025,Negamax5B P4 T0.1,0,4,0,142,14.275376081466675,Negamax4,Negamax5B
Negamax4 P4 T0.025,Negamax4 P4 T0.1,0,3,1,140,0.48968029022216797,Negamax4,Negamax4
Negamax P1,Neural Bot genomes/winne7.pkl,1,3,0,57,0.03935861587524414,Negamax,NeuralBot
Negamax3 P1,Negamax5B P12 T0.1,0,4,0,32,58.85119938850403,Negamax3,Negamax5B
Negamax4 P8,Negamax5 P8 T0.25,1,2,1,161,28.548747539520264,Negamax4,Negamax5
Negamax5B P6 T0.1,Negamax5B P8 T0.25,0,2,2,160,13.962144136428833,Negamax5B,Negamax5B
Negamax5B P4 T0.01,Negamax5B P8 T0.025,2,0,2,160,12.377989768981934,Negamax5B,Negamax5B
Negamax4 P10,Negamax5 P1,4,0,0,94,119.51003885269165,Negamax4,Negamax5
Negamax5 P10,Negamax5B P4 T0.1,0,3,1,134,52.6688232421875,Negamax5,Negamax5B
Negamax5 P12,Negamax5B P2,1,2,1,132,115.86040115356445,Negamax5,Negamax5B
Negamax5B P12 T0.025,Neural Bot genomes/winner9_gen800.pkl,4,0,0,82,107.64969229698181,Negamax5B,NeuralBot
Negamax5 P10 T0.01,Negamax5B P8 T0.1,0,4,0,150,53.42703056335449,Negamax5,Negamax5B
Negamax5B P6 T0.025,Negamax5B P12 T0.01,0,0,4,168,135.22610807418823,Negamax5B,Negamax5B
Negamax5B P8,Neural Bot winner_1gen1000.pkl,4,0,0,34,8.067806005477905,Negamax5B,NeuralBot
Negamax P1,Negamax4 P10,0,4,0,72,113.06647372245789,Negamax,Negamax4
Negamax4 P6 T0.025,Neural Bot genomes/checkpoint_gen100.pkl,4,0,0,74,2.222135305404663,Negamax4,NeuralBot
Neural Bot winner_gen200.pkl,Neural Bot genomes/winner6_gen200.pkl,2,2,0,28,0.036658287048339844,NeuralBot,NeuralBot
Negamax4 P4 T0.025,Neural Bot genomes/checkpoint_gen100.pkl,4,0,0,72,0.19301700592041016,Negamax4,NeuralBot
Negamax3 P6,Neural Bot winner_1gen1000.pkl,4,0,0,42,1.865483283996582,Negamax3,NeuralBot
Negamax5 P12 T0.25,Negamax5B P10,2,2,0,148,126.94446778297424,Negamax5,Negamax5B
Negamax5B P8 T0.01,Negamax5B P12 T0.025,0,4,0,150,141.06001448631287,Negamax5B,Negamax5B
Negamax5 P1,Neural Bot genomes/winner2_gen1200.pkl,1,3,0,47,0.07660079002380371,Negamax5,NeuralBot
Negamax4 P4 T0.25,Negamax5 P4 T0.25,1,2,1,138,0.9306566715240479,Negamax4,Negamax5
Negamax3 P1,Negamax4 P1,3,1,0,49,0.01800704002380371,Negamax3,Negamax4
Negamax4 P8,Neural Bot genomes/winner2_gen1200.pkl,4,0,0,84,12.402572393417358,Negamax4,NeuralBot
Negamax4 P8 T0.01,Negamax5B P10 T0.1,1,2,1,147,68.96434926986694,Negamax4,Negamax5B
Negamax4 P6 T0.1,Negamax5B P4 T0.25,0,4,0,144,2.45565128326416,Negamax4,Negamax5B
Negamax5B P10 T0.1,Negamax5B P10 T0.25,0,0,4,168,93.14284253120422,Negamax5B,Negamax5B
Negamax3 P2,Negamax3 P4,2,2,0,132,0.7172379493713379,Negamax3,Negamax3
Negamax4 P10 T0.25,Random Bot,4,0,0,72,179.77360916137695,Negamax4,RandomBot
Negamax4 P2,Negamax4 P4 T0.25,1,3,0,97,0.40506863594055176,Negamax4,Negamax4
Negamax3 P4,Neural Bot genomes/winner8.pkl,4,0,0,56,0.3284738063812256,Negamax3,NeuralBot
Negamax5B P10 T0.01,Neural Bot genomes/winner8_gen300.pkl,4,0,0,58,44.13015699386597,Negamax5B,NeuralBot
Negamax5 P6 T0.1,Neural Bot winner_gen1000.pkl,4,0,0,58,2.6339609622955322,Negamax5,NeuralBot
Negamax4 P4,Negamax5B P12 T0.025,1,1,2,147,176.87554335594177,Negamax4,Negamax5B
Negamax2 P8,Negamax4 P6,3,0,1,123,66.51728057861328,Negamax2,Negamax4
Negamax5B P12,Negamax5B P8 T0.01,4,0,0,150,183.9456171989441,Negamax5B,Negamax5B
Negamax5B P10 T0.01,Negamax5B P12 T0.25,0,0,4,168,191.8111879825592,Negamax5B,Negamax5B
Negamax5 P2,Neural Bot genomes/winner.pkl,4,0,0,78,0.041634559631347656,Negamax5,NeuralBot
Negamax4 P4 T0.25,Neural Bot winner_1gen50.pkl,4,0,0,48,0.11159420013427734,Negamax4,NeuralBot
Negamax4 P8 T0.25,Negamax5B P10 T0.1,0,3,1,149,80.71986365318298,Negamax4,Negamax5B
Negamax4 P8,Negamax5B P12 T0.1,0,4,0,140,220.78948426246643,Negamax4,Negamax5B
Negamax2 P4,Negamax3 P2,3,1,0,95,0.5844271183013916,Negamax2,Negamax3
Negamax4 P4 T0.25,Negamax5B P8 T0.025,0,4,0,118,8.264227628707886,Negamax4,Negamax5B
Negamax5 P10 T0.025,Negamax5B P6,0,3,1,148,61.877076864242554,Negamax5,Negamax5B
Negamax5B P10 T0.25,Neural Bot genomes/winner8_gen300.pkl,4,0,0,58,43.38812613487244,Negamax5B,NeuralBot
Negamax4 P8 T0.01,Negamax5B P8 T0.01,0,4,0,118,28.95107865333557,Negamax4,Negamax5B
Negamax5B P10 T0.01,Neural Bot genomes/winne7.pkl,4,0,0,86,53.880486488342285,Negamax5B,NeuralBot
Negamax2 P2,Negamax4 P4 T0.25,1,3,0,109,0.5361285209655762,Negamax2,Negamax4
Negamax5B P6 T0.01,Negamax5B P8 T0.1,0,2,2,160,14.165451049804688,Negamax5B,Negamax5B
Negamax5B P8 T0.1,Negamax5B P10 T0.1,0,0,4,168,73.24884724617004,Negamax5B,Negamax5B
Negamax3 P6,Negamax4 P6,0,4,0,140,10.458192110061646,Negamax3,Negamax4
Negamax4 P10 T0.01,Negamax5 P10 T0.25,1,3,0,129,290.9303402900696,Negamax4,Negamax5
Negamax4 P6 T0.1,Negamax5B P12,0,4,0,132,276.50900888442993,Negamax4,Negamax5B
Negamax4 P8 T0.025,Negamax5B P10 T0.1,0,3,1,134,82.23722171783447,Negamax4,Negamax5B
Negamax4 P6 T0.1,Negamax5 P4,1,2,1,133,3.16302227973938,Negamax4,Negamax5
Negamax5B P4 T0.1,Neural Bot genomes/winner8.pkl,4,0,0,58,0.2728865146636963,Negamax5B,NeuralBot
Negamax5 P4 T0.01,Negamax5B P12,0,4,0,146,281.21490955352783,Negamax5,Negamax5B
Negamax3 P2,Negamax4 P4 T0.01,1,3,0,95,0.07168245315551758,Negamax3,Negamax4
Negamax5 P12 T0.025,Negamax5B P2,1,2,1,122,256.4219603538513,Negamax5,Negamax5B
Negamax4 P1,Negamax4 P6 T0.025,0,4,0,70,0.7197487354278564,Negamax4,Negamax4
Negamax4 P6 T0.01,Negamax5 P4,1,2,1,136,0.8186850547790527,Negamax4,Negamax5
Negamax5 P12 T0.1,Neural Bot genomes/checkpoint_gen100.pkl,4,0,0,78,232.71157956123352,Negamax5,NeuralBot
Negamax5 P1,Neural Bot winner_1gen1500.pkl,3,1,0,47,0.029452085494995117,Negamax5,NeuralBot
Negamax4 P10,Neural Bot winner.pkl,4,0,0,58,214.7981312274933,Negamax4,NeuralBot
Negamax4 P10,Neural Bot genomes/winner.pkl,4,0,0,88,133.76548051834106,Negamax4,NeuralBot
Negamax5B P6 T0.01,Neural Bot genomes/winner6_gen200.pkl,4,0,0,58,0.34301090240478516,Negamax5B,NeuralBot
Negamax P6,Neural Bot winner.pkl,4,0,0,72,13.214468717575073,Negamax,NeuralBot
Negamax P6,Negamax4 P10 T0.1,0,3,1,151,322.06992077827454,Negamax,Negamax4
Negamax3 P8,Negamax4 P6 T0.1,2,1,1,143,25.84069585800171,Negamax3,Negamax4
Negamax5 P12,Negamax5B P8 T0.025,0,3,1,132,259.9309923648834,Negamax5,Negamax5B
Negamax5B P4 T0.01,Negamax5B P12 T0.025,0,0,4,168,292.47984051704407,Negamax5B,Negamax5B
Negamax4 P10 T0.1,Negamax5 P1,4,0,0,72,257.52261304855347,Negamax4,Negamax5
Negamax5 P6 T0.025,Negamax5B P1,3,0,1,98,1.4628870487213135,Negamax5,Negamax5B
Negamax5 P4 T0.025,Negamax5B P4 T0.25,1,2,1,133,0.3934788703918457,Negamax5,Negamax5B
Negamax4 P10,Neural Bot genomes/checkpoint_gen200.pkl,4,0,0,68,178.1499056816101,Negamax4,NeuralBot
Negamax P1,Negamax4 P8 T0.1,0,4,0,70,38.899006605148315,Negamax,Negamax4
Negamax4 P4 T0.01,Negamax5 P12 T0.01,0,3,1,149,375.3474712371826,Negamax4,Negamax5
Negamax3 P2,Random Bot,4,0,0,74,0.01594710350036621,Negamax3,RandomBot
Negamax4 P8 T0.01,Negamax5B P8 T0.025,0,3,1,138,28.345430850982666,Negamax4,Negamax5B
Negamax2 P8,Negamax5 P6 T0.25,1,1,2,142,61.74589776992798,Negamax2,Negamax5
Negamax5B P4 T0.025,Negamax5B P8 T0.01,2,0,2,160,11.185834646224976,Negamax5B,Negamax5B
Negamax5 P8 T0.01,Neural Bot genomes/winner8_gen300.pkl,4,0,0,76,13.335783958435059,Negamax5,NeuralBot
Negamax3 P4,Negamax5B P4 T0.25,1,3,0,127,0.6611645221710205,Negamax3,Negamax5B
Negamax5B P4,Neural Bot genomes/winne7.pkl,4,0,0,58,0.23650908470153809,Negamax5B,NeuralBot
Negamax4 P10 T0.1,Negamax5B P4 T0.25,0,2,2,155,126.6035168170929,Negamax4,Negamax5B
Negamax5B P6 T0.1,Negamax5B P10 T0.1,0,0,4,168,59.9536030292511,Negamax5B,Negamax5B
Neural Bot winner.pkl,Neural Bot winner_gen1000.pkl,0,4,0,30,0.0682828426361084,NeuralBot,NeuralBot
Negamax5B P12 T0.1,Neural Bot genomes/winner6_gen200.pkl,4,0,0,54,239.23764729499817,Negamax5B,NeuralBot
Negamax5 P6,Negamax5 P4 T0.25,2,0,2,156,3.468832492828369,Negamax5,Negamax5
Negamax4 P4 T0.01,Negamax5B P8 T0.01,0,4,0,120,13.999377965927124,Negamax4,Negamax5B
Negamax5 P8 T0.25,Negamax5B P10,0,4,0,128,60.983919858932495,Negamax5,Negamax5B
Negamax P2,Negamax5 P10 T0.1,0,4,0,98,85.99988126754761,Negamax,Negamax5
Negamax P1,Negamax5 P6,0,4,0,58,1.4247729778289795,Negamax,Negamax5
Negamax4 P2,Negamax5 P6 T0.25,0,4,0,114,1.3716130256652832,Negamax4,Negamax5
Negamax2 P4,Neural Bot genomes/winner4_gen300.pkl,4,0,0,76,0.17095518112182617,Negamax2,NeuralBot
Negamax5 P10 T0.01,Negamax5B P12 T0.01,0,2,2,150,331.6987798213959,Negamax5,Negamax5B
Negamax5B P1,Negamax5B P12 T0.25,0,2,2,128,325.931040763855,Negamax5B,Negamax5B
Negamax3 P8,Default Bot,4,0,0,40,36.96956706047058,Negamax3,DefaultBot
Negamax4 P8 T0.01,Negamax4 P8 T0.1,2,1,1,151,55.53625130653381,Negamax4,Negamax4
Negamax5B P6,Neural Bot winner_gen700.pkl,4,0,0,30,0.797330379486084,Negamax5B,NeuralBot
Negamax4 P2,Negamax5 P4,0,4,0,114,0.4056427478790283,Negamax4,Negamax5
Negamax5 P10 T0.025,Negamax5B P12 T0.025,0,4,0,160,340.4373526573181,Negamax5,Negamax5B
Negamax3 P6,Negamax5 P10 T0.025,0,2,2,135,80.10434198379517,Negamax3,Negamax5
Negamax4 P10,Negamax5B P12 T0.01,1,3,0,137,442.44894099235535,Negamax4,Negamax5B
Negamax5 P10 T0.1,Negamax5B P10 T0.025,0,4,0,144,122.23556804656982,Negamax5,Negamax5B
Negamax P6,Neural Bot genomes/winner_gen100.pkl,4,0,0,64,42.59308934211731,Negamax,NeuralBot
Neural Bot genomes/winner_gen100.pkl,Neural Bot genomes/winner3_gen800.pkl,2,2,0,52,0.38371706008911133,NeuralBot,NeuralBot
Negamax4 P8 T0.025,Negamax4 P10 T0.01,0,3,1,159,505.59951996803284,Negamax4,Negamax4
Negamax5 P10 T0.25,Neural Bot genomes/winner3_gen800.pkl,4,0,0,54,39.55457019805908,Negamax5,NeuralBot
Negamax5 P10,Negamax5 P6 T0.01,3,0,1,138,86.53958082199097,Negamax5,Negamax5
Negamax5 P10 T0.25,Neural Bot winner.pkl,4,0,0,58,55.37043356895447,Negamax5,NeuralBot
Negamax5B P12 T0.25,Neural Bot winner_1gen1500.pkl,4,0,0,62,476.9431245326996,Negamax5B,NeuralBot
Negamax4 P10,Negamax5 P10 T0.025,2,1,1,141,404.8248245716095,Negamax4,Negamax5
Negamax5B P12 T0.25,Neural Bot winner_gen200.pkl,4,0,0,54,197.25748085975647,Negamax5B,NeuralBot
Negamax4 P8 T0.25,Neural Bot winner_1gen1000.pkl,4,0,0,56,13.32951283454895,Negamax4,NeuralBot
Negamax5B P6 T0.01,Neural Bot genomes/winner3_gen800.pkl,4,0,0,58,0.794823408126831,Negamax5B,NeuralBot
Negamax5 P12,Negamax5B P12,1,3,0,143,582.6394453048706,Negamax5,Negamax5B
Negamax P2,Negamax5B P8 T0.1,0,4,0,118,10.948903560638428,Negamax,Negamax5B
Negamax5B P12,Negamax5B P10 T0.25,0,0,4,168,325.3111171722412,Negamax5B,Negamax5B
Negamax4 P4 T0.1,Negamax5 P10 T0.1,1,2,1,148,106.79953670501709,Negamax4,Negamax5
Negamax4 P6 T0.025,Negamax5 P12 T0.1,0,4,0,152,449.88965916633606,Negamax4,Negamax5
Negamax3 P1,Negamax4 P4,0,4,0,104,0.07226777076721191,Negamax3,Negamax4
Negamax3 P1,Negamax5B P4 T0.025,0,4,0,44,0.03488588333129883,Negamax3,Negamax5B
Negamax P2,Neural Bot winner_1gen1000.pkl,4,0,0,62,0.06628775596618652,Negamax,NeuralBot
Negamax4 P4 T0.01,Neural Bot genomes/winner5_gen300.pkl,4,0,0,72,0.052336931228637695,Negamax4,NeuralBot
Negamax5 P8 T0.1,Negamax5B P2,0,3,1,144,7.833836078643799,Negamax5,Negamax5B
Negamax4 P8 T0.1,Negamax5B P8 T0.25,0,4,0,148,17.763527393341064,Negamax4,Negamax5B
Negamax5B P4 T0.1,Neural Bot genomes/checkpoint_gen200.pkl,4,0,0,42,0.19683527946472168,Negamax5B,NeuralBot
Negamax P1,Neural Bot genomes/winner4_gen300.pkl,1,3,0,51,0.026274442672729492,Negamax,NeuralBot
Negamax5 P12,Neural Bot genomes/winner_gen100.pkl,4,0,0,66,311.223539352417,Negamax5,NeuralBot
Negamax3 P1,Negamax4 P6 T0.25,0,4,0,50,3.4352874755859375,Negamax3,Negamax4
Negamax2 P2,Negamax5 P10 T0.025,0,4,0,80,68.49277925491333,Negamax2,Negamax5
Negamax5 P10,Neural Bot genomes/winner5_gen300.pkl,4,0,0,76,28.56939435005188,Negamax5,NeuralBot
Negamax4 P8 T0.01,Negamax5B P12 T0.1,0,3,1,139,379.6423599720001,Negamax4,Negamax5B
